LocalityCo,LocNameHeb
"1070",אביעזר
"1123",אדרת
"693","נתיב הל""ה"
"1071",נווה מיכאל
"776",מחסיה
"816",זנוח
"2610",בית שמש
"567",צרעה
"805",ישעי
"799",זכריה
"919",גבעת ישעיהו
"1079",צפרירים
"59",נחושה
"1233",שקף
"1325",כפר זוהרים
"619",בית גוברין
"23",אמציה
"24",לכיש
"15",נועם
"18",שדה משה
"16",בית ניר
"393",גלאון
"1339",אל -עזי
"274",כפר מנחם
"39",גפן
"10",תירוש
"52",לוזית
"794",עגור
"1114",שריגים (לי-און)
"27",שדות מיכה
"462",טל שחר
"796",צלפון
"864",בקוע
"1264",כרמי יוסף
"370",גזר
"1050",בית חשמונאי
"711",עזריה
"301",בית עוזיאל
"839",פתחיה
"838",פדיה
"160",חולדה
"563",משמר דוד
"440",יסודות
"564",רבדים
"363",חפץ חיים
"2033",בית חלקיה
"577",יד בנימין
"562",בית אלעזרי
"196",גיבתון
"469",קריית עקרון
"177","כפר ביל""ו"
"1103",גני הדר
"862",גני יוחנן
"28",מזכרת בתיה
"759",יציץ
"735",רמות מאיר
"158",נען
"610",סתרייה
"331",ניר צבי
"2530",באר יעקב
"828",ישרש
"435",נצר סרני
"8400",רחובות
"466",בית דגן
"729",משמר השבעה
"836",גנות
"696","כפר חב""ד"
"594",צפרייה
"788",זיתן
"798",יגל
"797",אחיעזר
"8500",רמלה
"757",מצליח
"64","יד רמב""ם"
"7000",לוד
"2013",בן שמן (מושב)
"804",אחיסמך
"743",כפר שמואל
"707",כפר דניאל
"88",כרם בן שמן
"618",חדיד
"1084",בן שמן (כפר נוער)
"863",גינתון
"673",כפר טרומן
"448",בני עטרות
"663",טירת יהודה
"604",בית עריף
"2038",ברקת
"1304",שוהם
"784",בית נחמיה
"1141",מבוא מודיעים
"1200",מודיעין-מכבים-רעות*
"745",גמזו
"670",משמר איילון
"777",נחשון
"2010",כפר בן נון
"464",הראל
"1043",גיזו
"364",כפר אוריה
"493",דייר ראפאת
"566",גבעת שמש
"1259",נווה שלום
"752",תעוז
"778",תרום
"809",נחם
"1333",נוף איילון
"856",שעלבים
"3709",מבוא חורון
"742",מסילת ציון
"740",אשתאול
"751",בית מאיר
"3796",כפר האורנים
"1166",כפר רות
"1310",לפיד
"1165",שילת
"3770",חשמונאים
"3648",מתתיהו
"3797",מודיעין עילית
"3655","ניל""י"
"3652",בית אריה
"3768",פדואל
"3727",עלי זהב
"3778",עץ אפרים
"3560",אלקנה
"3720",שערי תקווה
"705",נחשונים
"871",עינת
"1309",אלעד
"2640",ראש העין
"717",חגור
"634",כפר קאסם
"355",חורשים
"1236",נירית
"633",כפר ברא
"3760",אורנית
"3750",אלפי מנשה
"718",ירחיב
"1315",מתן
"627",ג'לג'וליה
"2015",שדי חמד
"686",נווה ימין
"808",ניר אליהו
"716",אייל
"2720",טירה
"187",כפר הס
"875",כפר עבודה
"837",עזריאל
"1044",יעף
"170",כפר יעבץ
"1224",כוכב יאיר
"1148",צור נתן
"2730",טייבה
"3791",צופים
"3637",מעלה שומרון
"3567",סלעית
"3793",אבני חפץ
"1319",בת חפר
"1290",זמר
"2043",בחן
"715",להבות חביבה
"375",מגל
"6000",באקה-ג'ת*
"2055",מאור
"2003",תלמי אלעזר
"72",גן שמואל
"167",עין החורש
"219",חיבת ציון
"423",העוגן
"191",הדר עם
"173",גבעת חיים (מאוחד)
"2018",גבעת חיים (איחוד)
"850",אחיטוב
"2008",שדה יצחק
"734",גן יאשיה
"680",אומץ
"377",המעפיל
"697",בארותיים
"737",עולש
"758",יד חנה
"851",ניצני עוז
"661",שער אפרים
"638",קלנסווה
"2002",תנובות
"698",בורגתה
"807",חניאל
"753",ינוב
"379",גאולים
"767",פורת
"195",קדימה-צורן
"168",כפר יונה
"171",פרדסייה
"276",צור משה
"447",נורדייה
"316",כפר נטר
"326",בית יצחק-שער חפר
"549",גנות הדר
"193",כפר חיים
"1361",בת חן
"1077",גבעת שפירא
"115",חופית
"1318",מבואות ים
"382",מכמורת
"872",גאולי תימן
"422",חרב לאת
"204",אלישיב
"877",בית חירות
"897",מדרשת רופין
"252",ביתן אהרן
"200",בית ינאי
"190",כפר ויתקין
"175",אביחיל
"387",כפר מונש
"233",כפר ידידיה
"373",בית הלוי
"194",משמר השרון
"197",מעברות
"217","כפר הרא""ה"
"205",חגלה
"41",אליכין
"6500",חדרה
"1102",צוקי ים
"186",נעורים
"235",חבצלת השרון
"224",שושנת העמקים
"7400",נתניה
"1324",ארסוף
"346",גליל ים
"6400",הרצלייה
"267",כפר שמריהו
"247",רשפון
"8700",רעננה
"1024",חרוצים
"412",קריית שלמה
"232",שפיים
"842",געש
"417",יקום
"446",אודים
"288",בית יהושע
"182",אבן יהודה
"287",תל יצחק
"418",בני ציון
"386",בני דרור
"880",עין שריד
"157",עין ורד
"184",רמת הכובש
"425",משמרת
"162",חירות
"154",תל מונד
"284",שדה ורבורג
"239",גן חיים
"1076",בית ברל
"198",צופית
"6900",כפר סבא
"841",אלישמע
"218",גני עם
"98","כפר מל""ל"
"389",בצרה
"207","גבעת ח""ן"
"206",רמות השבים
"7900",פתח תקווה
"9700",הוד השרון
"183",ירקונה
"858",נווה ירק
"2035",עדנים
"870",גבעת השלושה
"449",נחלים
"249",כפר סירקין
"606",מזור
"616",רינתיה
"802","גבעת כ""ח"
"450",בארות יצחק
"257",נופך
"9400",יהוד
"722",מגשימים
"230",מעש
"128",גת רימון
"229",גני תקווה
"587",סביון*
"2620",קריית אונו
"2400",אור יהודה
"801",חמד
"681",גבעת שמואל
"6100",בני ברק
"2650",רמת השרון
"5000",תל אביב -יפו
"6300",גבעתיים
"8600",רמת גן
"565",אזור
"22",מקווה ישראל
"597",פלמחים
"6200",בת ים
"6600",חולון
"8300",ראשון לציון
"174",נטעים
"7200",נס ציונה
"202",בית עובד
"582",כפר הנגיד
"159",בית חנן
"156",עיינות
"311",גן שורק
"2660",יבנה
"760",בן זכאי
"555",שדמה
"1111",צופייה
"571",בית גמליאל
"685",בניה
"764",כפר מרדכי
"853",גאליה
"144",גן שלמה
"147",גבעת ברנר
"2550",גדרה
"615",קדרון
"588",בני ראם
"700",חצב
"1066","בני עי""ש"
"731",מישר
"591",עשרת
"2006",כנות
"827",נווה מבטח
"765",משגב דב
"848",בית רבן
"406",חצור-אשדוד
"166",גן יבנה
"1072",גן הדרום
"592",בני דרום
"234",ביצרון
"334",קבוצת יבנה
"1094",כרם יבנה (ישיבה)
"857",כפר אביב
"70",אשדוד
"720",ניר גלים
"763",שתולים
"1149",עזר
"772",אמונים
"739",שדה עוזיהו
"793",גבעתי
"293",שדה יואב
"1098",מרכז שפירא
"775",יד נתן
"315",נגבה
"32",עוצם
"622",עין צורים
"320",כפר ורבורג
"155",באר טוביה
"620",משואות יצחק
"817",עזריקם
"2012",אורות
"819",אביגדור
"1034",קריית מלאכי
"593",ערוגות
"690",כפר אחים
"727",תלמי יחיאל
"1157",אחווה
"888","כפר הרי""ף"
"2011",ינון
"163",תימורים
"2046",סגולה
"392",קדמה
"1133",ורדון
"2045",נחלה
"2030",מנוחה
"815",זבדיאל
"1145",אלומה
"553",ניר בנים
"818",זרחיה
"692",שפיר
"766",קוממיות
"2051",רווחה
"7",שחר
"2630",קריית גת
"340",גת (קיבוץ)
"826",עוזה
"400",אבן שמואל
"873",שלווה
"821",אחוזם
"37",איתן
"11","ניר ח""ן"
"309",נהורה
"55",נוגה
"44",זוהר
"36",שדה דוד
"824",כוכב מיכאל
"814",תלמים
"428",ברור חיל
"67",אור הנר
"342",גברעם
"706",גיאה
"744",תלמי יפה
"820",חלץ
"746",ברכיה
"699",ניר ישראל
"726",הודייה
"756",בית עזרא
"1419",ניצן ב'
"351",ניצן
"359",ניצנים
"107",כפר סילבר
"791",משען
"747",בית שקמה
"1323",בת הדר
"7100",אשקלון
"584",זיקים
"1242",נתיב העשרה
"768",כרמייה
"573",מבקיעים
"358",יד מרדכי
